MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        85.00,        84.00,        85.90,        80.00,        81.75,                  4729360.00,57600, ,       105.00,        62.00
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        20.75,        20.65,        20.80,        20.65,        20.80,                    82900.00,4000, ,        33.50,        14.50
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       182.20,       181.00,       187.00,       175.00,       181.50,                 13742200.00,77000, ,       275.00,        92.10
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        59.00,        59.00,        59.00,        59.00,        59.00,                    70800.00,1200, ,        82.95,        57.40
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       177.00,       177.00,       177.00,       175.00,       175.00,                   527100.00,3000, ,       190.00,       147.05
N,SM,AERON,AERON COMPOSITE LIMITED,       104.50,       105.00,       109.00,       103.70,       108.85,                  2877700.00,27000, ,       202.20,        99.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       138.75,       141.00,       141.00,       139.00,       139.00,                   560000.00,4000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        64.00,        63.00,        63.00,        62.00,        62.00,                   280575.00,4500, ,        99.65,        42.05
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       155.00,       156.00,       159.50,       152.00,       158.65,                 11990340.00,76800, ,       174.05,        81.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        68.00,        68.00,        68.00,        68.00,        68.00,                   136000.00,2000, ,        70.50,        37.30
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        40.00,        39.00,        40.00,        38.00,        38.00,                   348000.00,9000, ,        90.90,        38.00
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       691.35,       687.90,       709.90,       679.00,       700.85,                 15187480.00,22000, ,       835.00,       358.00
N,SM,AISL,ANI INTEGRATED SERV LTD.,        84.00,        84.00,        85.85,        84.00,        85.85,                   101910.00,1200, ,       207.75,        77.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        89.50,        89.00,        89.00,        87.00,        87.50,                   617150.00,7000, ,       183.25,        82.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       264.50,       272.90,       272.90,       264.55,       268.75,                  2910780.00,10800, ,       633.00,       262.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1157.90,      1157.70,      1197.00,      1144.50,      1194.70,                 49704690.00,42400, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        82.00,        82.00,        82.00,        82.00,        82.00,                   246000.00,3000, ,        95.80,        48.00
N,SM,AMBANIORGO,AMBANI ORGOCHEM LIMITED,       138.90,       131.95,       139.90,       131.95,       139.90,                   271850.00,2000, ,       150.00,        76.15
N,SM,AMBEY,AMBEY LABORATORIES LTD,        40.00,        40.00,        41.95,        40.00,        41.90,                   327700.00,8000, ,        75.00,        31.85
N,SM,AMCL,ANB METAL CAST LIMITED,       270.85,       278.95,       283.00,       277.10,       277.10,                  2016400.00,7200, ,       295.30,       161.70
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       100.00,       100.10,       102.60,       100.10,       102.60,                   302800.00,3000, ,       127.25,        93.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       250.85,       254.00,       254.00,       247.20,       249.95,                 36047762.50,144250, ,       441.00,       228.00
N,SM,ANONDITA,ANONDITA MEDICARE LIMITED,       354.65,       353.00,       375.00,       353.00,       374.00,                 13555300.00,37000, ,       417.90,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        22.45,        23.40,        25.05,        23.40,        24.00,                 10137250.00,410000, ,        29.05,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       134.55,       134.55,       144.00,       134.55,       144.00,                   890400.00,6400, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       272.50,       268.00,       274.95,       264.00,       274.95,                  1621950.00,6000, ,       298.95,        55.00
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       450.80,       446.10,       468.00,       446.10,       459.25,                 14150512.50,31000, ,       654.00,       345.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        70.70,        70.70,        70.70,        70.40,        70.40,                   423000.00,6000, ,        96.85,        63.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        96.15,        96.50,        97.00,        94.35,        95.25,                  6091900.00,63000, ,       145.00,        94.35
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       102.95,       103.30,       103.30,       100.00,       102.00,                   712550.00,7000, ,       182.60,        70.80
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       440.95,       441.00,       449.95,       425.10,       426.05,                  1050820.00,2400, ,       449.95,       178.00
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        45.75,        46.00,        47.95,        45.50,        47.10,                   904875.00,19500, ,       142.80,        44.50
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        79.00,        76.00,        78.00,        75.05,        78.00,                   537850.00,7000, ,       125.00,        60.00
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        47.75,        47.15,        49.25,        47.15,        48.85,                  2661360.00,55200, ,       115.35,        46.50
N,SM,ATMASTCO,ATMASTCO LIMITED,       202.45,       200.00,       204.70,       198.00,       201.05,                  5709440.00,28400, ,       300.80,       162.20
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       139.95,       142.50,       142.50,       142.50,       142.50,                    89062.50,625, ,       398.00,       133.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        50.00,        49.60,        49.60,        49.60,        49.60,                   158720.00,3200, ,        89.70,        43.95
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,        99.50,        99.50,       100.50,        99.50,       100.50,                   300500.00,3000, ,       114.25,        65.10
N,SM,AVPINFRA,AVP INFRACON LIMITED,       162.70,       165.00,       167.45,       163.00,       166.20,                  7684360.00,46400, ,       264.30,       113.45
N,SM,BABAFP,BABA FOOD PROCESSING,        35.85,        37.00,        37.00,        36.50,        36.85,                   176560.00,4800, ,        64.00,        35.00
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       547.10,       554.95,       568.00,       544.30,       562.85,                 17154112.50,30750, ,       649.90,       328.10
N,SM,BALCO,SOLVE PLASTIC PRODUCTS L,        31.00,        29.45,        29.45,        29.45,        29.45,                   212040.00,7200, ,        63.60,        25.00
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        80.10,        80.40,        80.40,        78.40,        78.80,                  7751900.00,98000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       357.45,       359.85,       374.80,       350.35,       372.50,                  6613185.00,18000, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        50.00,        49.95,        51.00,        49.95,        50.40,                   362800.00,7200, ,        88.00,        44.00
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        51.80,        54.05,        54.05,        53.35,        53.35,                   215450.00,4000, ,       128.95,        50.00
N,SM,BETA,BETA DRUGS LIMITED,      1819.75,      1848.00,      1853.40,      1800.05,      1815.95,                  5555639.25,3045, ,      2326.00,      1501.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       139.10,       142.00,       144.40,       142.00,       144.40,                   143200.00,1000, ,      1505.00,       134.10
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        97.90,        98.40,        99.90,        91.50,        99.20,                 12802980.00,129600, ,       128.85,        85.60
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        15.00,        15.00,        15.05,        15.00,        15.00,                   150200.00,10000, ,        46.90,        14.00
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       174.00,       174.00,       174.60,       170.15,       174.60,                   345600.00,2000, ,       390.00,       167.20
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       150.00,       150.00,       150.00,       150.00,       150.00,                  1800000.00,12000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        48.50,        47.00,        47.00,        47.00,        47.00,                    37600.00,800, ,       139.50,        38.10
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        44.00,        43.90,        43.90,        43.00,        43.85,                  1731400.00,40000, ,        71.50,        36.55
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        77.00,        75.05,        75.05,        75.00,        75.00,                   240080.00,3200, ,       133.30,        69.00
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        57.95,        55.15,        57.95,        55.05,        57.90,                   664975.00,12000, ,       162.80,        55.05
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        30.60,        30.75,        30.75,        29.15,        29.90,                  2155400.00,72000, ,        46.40,        23.50
N,SM,CBAZAAR,NET AVENUE TECHNOLOGIES L,         3.75,         3.85,         3.90,         3.85,         3.90,                   123600.00,32000, ,        17.45,         3.75
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        95.00,        92.00,        92.00,        85.00,        85.40,                  6638800.00,76000, ,       136.30,        85.00
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        30.30,        30.30,        30.85,        29.75,        30.35,                  8726400.00,288000, ,        81.50,        28.65
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       210.40,       214.90,       218.80,       210.00,       215.75,                  5951800.00,28000, ,       259.00,       134.40
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        53.20,        53.20,        53.20,        53.15,        53.15,                   319050.00,6000, ,        71.00,        36.10
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       105.60,       105.60,       105.60,       102.65,       104.15,                  1557400.00,15000, ,       199.25,       102.65
N,SM,CHETANA,CHETANA EDUCATION LIMITED,        70.80,        72.65,        72.65,        72.60,        72.60,                   232400.00,3200, ,       129.00,        70.00
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        91.10,        90.25,        92.50,        85.55,        87.25,                 11616400.00,131200, ,       113.90,        80.50
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        55.00,        55.40,        55.55,        55.40,        55.55,                   332800.00,6000, ,        62.80,        41.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,       156.75,       156.50,       156.50,       152.10,       155.40,                   583575.00,3750, ,       178.80,       103.70
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        93.00,        88.35,        88.35,        88.35,        88.35,                    70680.00,800, ,       144.40,        64.00
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       200.45,       200.10,       200.10,       192.65,       195.60,                  8729720.00,44000, ,       229.00,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        24.70,        25.90,        25.90,        25.90,        25.90,                   172649.40,6666, ,        60.00,        20.85
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        90.80,        89.05,        91.50,        86.90,        90.30,                 26918375.00,302500, ,       931.00,        75.00
N,SM,CPS,C P S SHAPERS LIMITED,       727.00,       702.10,       702.10,       702.10,       702.10,                   210630.00,300, ,       880.00,       345.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        52.40,        56.00,        56.00,        51.00,        51.00,                   713200.00,13000, ,       135.40,        42.00
N,SM,CUDML,CASH UR DRIVE MARKETING L,       144.90,       143.60,       150.00,       143.60,       150.00,                  1328300.00,9000, ,       165.00,       130.00
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       139.40,       137.60,       138.00,       137.50,       138.00,                  1321920.00,9600, ,       163.00,       123.05
N,SM,DANISH,DANISH POWER LIMITED,       816.10,       815.00,       825.00,       807.30,       821.50,                 31263487.50,38400, ,      1316.00,       541.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        53.20,        51.35,        52.95,        51.30,        52.95,                   413800.00,8000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        68.90,        68.85,        68.90,        68.85,        68.90,                   165300.00,2400, ,       150.00,        57.15
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        32.40,        32.70,        33.20,        32.00,        32.10,                   585240.00,18000, ,        93.40,        28.80
N,SM,DELAPLEX,DELAPLEX LIMITED,       166.90,       169.00,       171.95,       162.05,       162.85,                  3524040.00,21000, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        63.00,        62.50,        64.70,        60.00,        61.75,                  3297050.00,54000, ,       183.75,        60.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       165.15,       165.15,       181.65,       165.15,       181.35,                  9795210.00,56400, ,       374.80,       160.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       612.05,       608.00,       608.00,       596.00,       605.00,                 13990000.00,23250, ,       840.00,       533.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,       125.00,       125.00,       125.00,       125.00,       125.00,                   187500.00,1500, ,       181.00,        67.80
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        40.40,        41.60,        42.35,        40.85,        41.45,                   664100.00,16000, ,       110.00,        40.40
N,SM,DHARIWAL,DHARIWALCORP LIMITED,       197.00,       196.00,       198.00,       193.00,       193.95,                 15875280.00,81600, ,       229.00,        90.50
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,       158.95,       160.70,       164.85,       159.00,       162.35,                  1389880.00,8600, ,       424.85,       139.00
N,SM,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,        97.35,       102.20,       102.20,       102.20,       102.20,                  2452800.00,24000, ,       102.20,        43.00
N,SM,DIVYADHAN,DIVYADHAN RECYCLING IND L,        41.00,        41.00,        41.00,        41.00,        41.00,                    82000.00,2000, ,        96.00,        36.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        74.40,        67.70,        69.85,        67.70,        69.85,                   206325.00,3000, ,       103.80,        56.50
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        42.55,        41.75,        41.95,        41.00,        41.65,                  2330800.00,56000, ,        49.00,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        69.25,        73.00,        73.00,        69.00,        69.20,                  1049775.00,15000, ,       268.00,        64.55
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       162.30,       162.00,       165.50,       160.00,       162.85,                  6734320.00,41600, ,       169.60,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        38.35,        38.40,        38.40,        37.10,        37.10,                   467375.00,12500, ,        76.95,        36.50
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        39.95,        39.25,        39.25,        37.30,        39.00,                  1779100.00,46000, ,        68.00,        33.10
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       132.05,       126.20,       130.50,       125.45,       125.60,                  5389175.00,42500, ,       404.35,       107.30
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       195.70,       196.95,       199.00,       193.50,       194.10,                  2739300.00,14000, ,       267.90,       186.00
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       265.00,       267.00,       267.00,       267.00,       267.00,                   427200.00,1600, ,       328.80,       127.50
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       224.25,       227.50,       227.50,       221.50,       222.10,                  2149200.00,9600, ,       287.90,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        39.00,        39.50,        39.50,        38.30,        38.55,                   280980.00,7200, ,        72.90,        29.20
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       135.65,       138.00,       138.00,       133.70,       134.65,                  3524250.00,26000, ,       163.50,        95.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        97.80,        98.00,        98.00,        97.70,        97.70,                   685200.00,7000, ,       158.80,        87.05
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       145.65,       147.00,       149.95,       145.00,       145.55,                   351420.00,2400, ,       521.85,       140.00
N,SM,EMMIL,ENERGY MISSION MACH IND L,       179.00,       173.30,       173.85,       171.90,       172.95,                  3930762.50,22750, ,       488.55,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       196.00,       196.00,       196.00,       194.00,       195.00,                  1408140.00,7200, ,       284.00,       142.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        21.60,        22.45,        22.65,        21.90,        22.05,                  2225500.00,100000, ,       321.00,        13.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       147.60,       149.10,       151.00,       148.00,       149.00,                  1196000.00,8000, ,       173.00,        89.05
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       252.60,       243.25,       265.20,       240.00,       265.20,                 24152620.00,95200, ,       502.95,       150.15
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       305.50,       305.00,       305.50,       290.25,       290.25,                 17355924.00,59040, ,       757.25,       282.75
N,SM,ESPRIT,ESPRIT STONES LIMITED,        75.40,        74.00,        77.05,        73.00,        77.00,                  3735680.00,49600, ,       159.45,        73.00
N,SM,ETL,EMKAY TOOLS LIMITED,       914.90,       875.05,       875.05,       875.05,       875.05,                   131257.50,150, ,      1235.00,       750.00
N,SM,ETML,EMERALD TYRE MANUF LTD,       125.00,       124.95,       130.00,       124.95,       130.00,                   763080.00,6000, ,       198.95,        96.10
N,SM,EXCELLENT,EXCELLENT WIRES N PACK L,        47.20,        47.45,        47.45,        47.45,        47.45,                    75920.00,1600, ,        76.00,        42.00
N,SM,FELIX,FELIX INDUSTRIES LTD.,       193.15,       194.00,       199.80,       189.00,       192.65,                  2904425.00,15000, ,       316.80,       108.00
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       169.00,       172.60,       172.60,       172.10,       172.20,                   688900.00,4000, ,       234.00,       109.00
N,SM,FOCE,FOCE INDIA LIMITED,      1894.00,      1900.00,      1920.00,      1900.00,      1920.00,                   764500.00,400, ,      1980.00,      1226.00
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        99.00,        90.20,        98.95,        90.20,        98.95,                   280400.00,3000, ,       188.75,        68.85
N,SM,FORCAS,FORCAS STUDIO LIMITED,       106.25,       106.00,       112.85,       106.00,       112.15,                  5322480.00,48000, ,       129.80,        65.05
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       169.60,       169.50,       177.85,       169.50,       177.85,                  7049700.00,40800, ,       221.95,       110.00
N,SM,FROG,FROG CELLSAT LIMITED,       240.20,       240.20,       242.95,       234.05,       235.85,                  4261580.00,18000, ,       458.00,       211.15
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,        11.85,        11.55,        11.95,         9.65,        11.95,                   201450.00,18000, ,        33.00,         9.65
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       219.70,       222.35,       234.90,       213.50,       230.80,                 22120800.00,99200, ,       279.80,       106.25
N,SM,GGBL,GANESH GREEN BHARAT LTD,       394.40,       397.50,       399.50,       391.50,       396.35,                  7484340.00,18900, ,       635.00,       282.20
N,SM,GICL,GLOBE INTL CARRIERS LTD,       164.60,       164.60,       166.50,       162.55,       164.80,                  4200075.00,25500, ,       169.95,        52.00
N,SM,GML,GALAXY MEDICARE LIMITED,        32.45,        29.20,        29.20,        29.20,        29.20,                  1635200.00,56000, ,        54.00,        29.20
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         8.85,         8.55,         8.55,         8.40,         8.55,                  2478375.00,292500, ,        13.50,         7.20
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        36.00,        37.60,        37.80,        37.60,        37.80,                    90480.00,2400, ,        82.80,        31.30
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       370.00,       352.00,       352.00,       333.50,       339.00,                  1284850.00,3750, ,       525.25,       333.50
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        63.85,        63.50,        67.50,        63.50,        66.00,                   577200.00,8800, ,        90.00,        54.55
N,SM,GSTL,GLOBESECURE TECHNO LTD,         8.15,         8.50,         8.50,         7.90,         8.00,                   192550.00,24000, ,        51.90,         7.90
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       220.00,       220.00,       225.00,       218.00,       218.45,                  7594800.00,34400, ,       340.90,       183.25
N,SM,HOACFOODS,HOAC FOODS INDIA LIMITED,       237.05,       245.00,       245.00,       241.00,       242.95,                  1278412.50,5250, ,       277.65,       105.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       105.55,       100.65,       104.95,       100.30,       104.25,                  1980675.00,19500, ,       214.00,       100.30
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       242.00,       229.90,       229.90,       229.90,       229.90,                   137940.00,600, ,       545.90,       224.20
N,SM,HPTL,HP TELECOM INDIA LIMITED,       287.50,       290.00,       297.00,       290.00,       297.00,                  2453460.00,8400, ,       297.00,       101.05
N,SM,HVAX,HVAX TECHNOLOGIES LIMITED,       963.00,       920.00,       945.95,       920.00,       934.95,                  1679070.00,1800, ,      1029.30,       461.70
N,SM,IBLFL,IBL FINANCE LIMITED,        67.45,        67.30,        67.30,        65.10,        65.10,                   264800.00,4000, ,        82.00,        45.45
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        42.95,        43.60,        43.60,        40.10,        40.10,                   337400.00,8000, ,        99.75,        38.00
N,SM,IEML,INDIAN EMULSIFIERS LTD,       140.65,       141.05,       143.45,       134.00,       135.10,                  7980725.00,58500, ,       309.85,        98.45
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       249.00,       253.50,       253.50,       253.50,       253.50,                   126750.00,500, ,       392.50,       213.90
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       449.20,       450.15,       450.15,       445.00,       445.05,                  7166280.00,16000, ,       575.00,       257.00
N,SM,INNOMET,INNOMET ADVANCED MATERI L,       162.80,       166.90,       166.90,       162.00,       162.00,                   592620.00,3600, ,       239.95,       100.00
